STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
355,及格,Động từ,jígé,"đạt tiêu chuẩn, đủ điểm qua (thi cử)",这次汉语期末考试听力部分的整体难度很高，但他依然及格及格了。,Độ khó phần nghe cuối kỳ cao nhưng cậu ấy vẫn thi đạt.
356,极,Phó từ,jí,"cực kỳ, rất, hết sức",李老师对留学生同学的关怀极深，大家在学校里都感到非常温暖。,"Cô Lý quan tâm học sinh cực kỳ sâu sắc, ai cũng thấy ấm áp."
357,极其,Phó từ,jíqí,"cực kỳ, vô cùng (nhấn mạnh trạng thái)",写化学实验室报告时必须保持极其极其严谨认真的操作态度才行。,Khi làm báo cáo thí nghiệm hóa học phải cực kỳ nghiêm túc cẩn thận.
358,即将,Phó từ,jíjiāng,"sắp sửa, sắp, sắp tới đây",毕业季即将到来，大四的毕业生们都在忙着准备毕业论文答辩答辩。,"Mùa tốt nghiệp sắp đến, sinh viên năm cuối bận rộn chuẩn bị bảo vệ."
359,急忙,Phó từ,jímáng,"vội vã, vội vàng, khẩn trương",听到舍友说大楼里有奇怪的烟雾，他急忙穿上外衣跑出跑出宿舍大楼。,"Nghe bạn bảo phòng có khói lạ, cậu vội mặc áo chạy ra khỏi tòa nhà."
360,集合,Động từ,jíhé,"tập hợp, tập trung",明天上午七点半，请大家在校门口准时集合，乘大巴前往北京郊区。,"7h30 sáng mai, mời mọi người tập trung ở cổng đón xe đi ngoại ô."
361,记载,Động từ / Danh từ,jìzǎi,"ghi chép, ghi lại, sách ghi chép",这本古老的中文历史文献里详细记载了上千年前中华民族的故事。,Tài liệu lịch sử cổ này ghi chép chi tiết câu chuyện dân tộc Trung Hoa.
362,纪律,Danh từ,jìlǜ,"kỷ luật, quy tắc trường lớp",在安静的阅览室里看书时一定要自觉遵守纪律，把手机调成静音。,Đọc sách phòng đọc phải tự giác tuân thủ kỷ luật im lặng.
363,技巧,Danh từ,jìqiǎo,"kỹ xảo, kỹ năng, mẹo làm bài",多做汉语模拟考试卷子可以帮我们积累很多听力阅读阅读的答题技巧。,Làm nhiều đề thi thử giúp tích lũy nhiều mẹo đọc nghe.
364,系,Động từ,jì,"thắt, buộc (như 系鞋带, 系领带)",出门跑步以前，别忘了把你的白色运动鞋上的鞋带系紧，注意安全。,Trước khi chạy bộ nhớ buộc chặt dây giày thể thao trắng cho an toàn.
365,季,Danh từ,jì,"mùa (trong năm), quý",北京的秋季天高气爽，风景风景极其宜人，是一年中最舒服的季节。,"Mùa thu Bắc Kinh trời cao mát mẻ, phong cảnh rất dễ chịu."
366,季度,Danh từ,jìdù,quý (3 tháng trong kinh doanh/kế hoạch),公司每个季度都要召开一次全体员工会议，总结最近的工作进展工作进展。,Mỗi quý công ty đều họp toàn thể nhân viên tổng kết tiến độ việc.
367,季节,Danh từ,jìjié,"mùa, thời kỳ",春天是一个万物复苏、鲜花盛开盛开、生机勃勃的非常美丽的季节。,"Mùa xuân là mùa trăm hoa nở rộ, vạn vật hồi sinh tươi đẹp."
368,既,Phó từ / Liên từ,jì,vừa... lại... (thường đi với 又/且),李华写的汉语报告既结构结构完整，又数据分析真实详细，很好。,Báo cáo tiếng Trung Lý Hoa viết cấu trúc vừa hoàn chỉnh số liệu lại thực tế.
369,既然,Liên từ,jìrán,"đã, vì rằng (thường đi với 就/也)",既然你已经决定明年去北京留学，那从现在起就得努力多背汉字汉字。,Đã quyết sang năm đi du học Bắc Kinh thì nay phải chăm học chữ Hán.
370,寄,Động từ,jì,gửi (thư/đồ bưu điện),妈妈今天上午去邮局给我寄寄了一个大包裹，里面有越南的特色零食。,Sáng nay mẹ ra bưu điện gửi cho tôi bưu kiện lớn chứa đồ ăn Việt.
371,加班,Động từ,jiābān,"làm thêm giờ, tăng ca",经理为了这周能顺利完成这个新电脑项目的开发，带大家天天加班加班。,Giám đốc dẫn cả đội tăng ca mỗi ngày để hoàn thành dự án máy tính.
372,加入,Động từ,jiārù,"gia nhập, tham gia, thêm vào",他上周正式提交了申请申请，决定加入学校的汉语戏剧学术社团社团。,Tuần trước cậu ấy nộp đơn xin gia nhập clb kịch tiếng Trung trường.
373,加油站,Danh từ,jiāyóuzhàn,"trạm xăng, cây xăng",去北京郊区大森林的马路旁边新建了一个非常高档的加油站加油站。,Ven đường đi rừng ngoại ô Bắc Kinh mới xây một cây xăng lớn tiện lợi.
374,家务,Danh từ,jiāwù,"việc nhà, công việc gia đình",放学回家写完作业后，弟弟总是会主动帮妈妈做一些力所能及的家务家务。,Học xong em trai hay chủ động giúp mẹ làm việc nhà trong khả năng.
375,假如,Liên từ,jiǎrú,"giả sử, nếu như (thường đi với 就)",假如明天下午不下雨的话的话，我们就一块儿去操场踢踢足球吧。,Giả sử chiều mai không mưa thì tụi mình đi đá bóng trên sân nhé.
376,坚固,Tính từ,jiāngù,"kiên cố, vững chắc, bền bỉ",这座跨江大桥桥的设计结构非常科学，使用了大量非常坚固的生铁材料。,"Cầu vượt sông này thiết kế rất khoa học, dùng lượng sắt kiên cố."
377,检测,Động từ / Danh từ,jiǎncè,"kiểm trắc, đo đạc kiểm tra, test",语言实验室的老师今天下午要对所有电脑设备进行常规软件检测检测。,Thầy phòng lab chiều nay kiểm tra phần mềm định kỳ các máy tính.
378,减,Động từ,jiǎn,"giảm, bớt, trừ đi (phép tính)",这道数学计算题非常容易，十减三等于几，小妹妹三秒钟就回答出来了。,"Câu toán này dễ quá, 10 trừ 3 bằng mấy, em bé 3 giây trả lời xong."
379,减肥,Động từ,jiǎnféi,"giảm cân, giảm béo",为了拥有一个健康健康的身体，姐姐最近每天晚上都坚持去操场慢跑减肥。,"Để có thân hình khỏe đẹp, chị tôi tối nào cũng chạy bộ giảm cân."
380,减少,Động từ,jiǎnshǎo,"giảm bớt, làm giảm, thu hẹp",采取了这些环保措施后，我们学校的日常日常用电量明显减少了减少了。,Áp dụng biện pháp xanh giúp lượng điện tiêu thụ ở trường giảm hẳn.
381,简历,Danh từ,jiǎnlì,"sơ yếu lý lịch, CV xin việc",去参加外企面试以前，别忘了把你的中文简历复印几份带在书包里。,Trước khi đi phỏng vấn nhớ in vài bản CV tiếng Trung mang theo.
382,健身,Động từ,jiànshēn,"tập thể hình, tập gym, rèn luyện thân thể",每天傍晚，他都会准时去学校的体育馆健身房里坚持健身一小时健身一小时。,Mỗi chiều muộn cậu ấy đều đi tập gym 1 tiếng ở nhà thể thao trường.
383,渐渐,Phó từ,jiànjiàn,"dần dần, từ từ, ngày một",随着秋天季节到来，北京的天气渐渐变得凉快凉快舒服起来了。,"Mùa thu sang, thời tiết Bắc Kinh dần mát mẻ dễ chịu hẳn."
384,江,Danh từ,jiāng,"sông lớn, giang",滚滚的江水流过大桥，向着广阔的大海奔腾流去，风景风景极雄伟。,Dòng sông cuồn cuộn chảy dưới cầu hướng ra biển lớn cảnh rất hùng vĩ.
385,讲究,Động từ / Tính từ,jiǎngjiu,"coi trọng, tinh tế, có nghiên cứu kĩ",中国人写书法非常讲究笔画笔画和正确的笔顺笔顺规范格式。,Người Trung Quốc viết thư pháp rất coi trọng nét bút và nét viết.
386,讲座,Danh từ,jiǎngzuò,"buổi thuyết trình, bài giảng chuyên đề, tọa đàm",李教授今天下午要在多功能大礼堂举办一场关于环保的专题讲座专题讲座。,Giáo sư Lý chiều nay thuyết trình chuyên đề môi trường ở hội trường.
387,奖,Động từ / Danh từ,jiǎng,"thưởng, giải thưởng, khen thưởng, huy chương",他在这次汉语口语大赛中表现非常出色，荣获了第一名的大奖大奖。,Cậu ấy nói rất xuất sắc đoạt giải lớn hạng nhất cuộc thi nói.
388,奖金,Danh từ,jiǎngjīn,"tiền thưởng, tiền thưởng thêm",经理决定给这个月为了新电脑项目天天加班的优秀员工发发奖金奖金。,Sếp định phát thưởng cho nhân viên giỏi tăng ca làm dự án tháng này.
389,奖学金,Danh từ,jiǎngxuéjīn,học bổng,李华学习非常刻苦，每年都能拿到学校颁发颁发的最高额度奖学金。,"Lý Hoa học rất chăm, năm nào cũng đạt học bổng cao nhất trường."
390,降,Động từ,jiàng,"hạ, giảm xuống, rơi xuống (như 降落, 降低)",气温在入冬后突然突然降了下来，大家都穿上了厚厚的羽绒服外套。,"Nhiệt độ đông sang giảm mạnh, ai nấy đều mặc áo phao khoác dày."
391,降低,Động từ,jiàngdī,"làm giảm, hạ thấp (tiêu chuẩn/nhiệt độ)",学校食堂为了照顾留学生的日常日常经济，降低了部分饭菜价格饭菜价格。,Nhà ăn trường hạ giá một số món ăn để hỗ trợ tài chính học sinh.
392,降价,Động từ,jiàngjià,"giảm giá, hạ giá bán",学校门口的那家中国小吃店最近降价打折优惠，去吃的人超级多。,Quán ăn Trung Quốc cổng trường dạo này giảm giá hạ giá nên đông khách.
393,降落,Động từ,jiàngluò,"hạ cánh, rơi xuống đất",从河内飞往北京的国际大飞机在大风天气中安全降落在机场跑道跑道。,Chuyến bay quốc tế từ Hà Nội hạ cánh an toàn xuống sân bay Bắc Kinh.
394,降温,Động từ,jiàngwēn,"giảm nhiệt độ, hạ nhiệt",今天外面突然下了一场暴雨，使得酷热干燥的天气瞬间降温了好多降温了好多。,Hôm nay bỗng mưa rào lớn khiến trời nóng bức lập tức dịu mát hẳn.
395,交换,Động từ,jiāohuàn,"trao đổi, đổi cho nhau (vật/ý kiến)",我们两个汉语学习小组打算下周交换一下各自收集的报告数据报告数据。,Hai nhóm học tiếng Trung định tuần tới trao đổi số liệu báo cáo.
396,交际,Động từ / Danh từ,jiāojì,"giao tiếp xã hội, giao tế, quan hệ",多参加一些学校举办的文化交流活动有助于提升留学生交际交际能力。,Giao lưu văn hóa giúp nâng cao khả năng giao tiếp của du học sinh.
397,教授,Danh từ,jiàoshòu,giáo sư (học hàm đại học),李教授是研究中国古代文学的著名专家，在学术界地位极其核心地位极其核心。,"Giáo sư Lý là chuyên gia văn học cổ nổi tiếng, vị thế rất cao."
398,教训,Động từ / Danh từ,jiàoxun,"bài học kinh nghiệm, giáo huấn, dạy bảo",我们必须从这次失败的商业谈判中吸取教训，修改完善方案方案。,Ta phải rút bài học kinh nghiệm từ đàm phán thất bại này để sửa đổi.
399,阶段,Danh từ,jiēduàn,"giai đoạn, thời kỳ",我们小组目前的新项目开发工作已经进入到了最后的核心核心阶段阶段。,Việc mở dự án mới của nhóm chúng tôi hiện bước vào giai đoạn cuối.
400,街道,Danh từ,jiēdào,"phố, đường phố, ngõ phố",新修的西区教学楼外面的街道街道非常宽敞干净整齐，空气空气很好。,Đường phố ngoài giảng đường mới khu tây rộng và rất sạch sẽ.
401,节省,Động từ,jiéshěng,tiết kiệm,为了给家里减轻经济负担，他在日常生活中总是非常节省费用。,"Để giảm bớt gánh nặng kinh tế gia đình, cậu ấy luôn rất tiết kiệm chi tiêu."
402,结,Động từ / Danh từ,jié,"buộc, thắt, kết trái, nút thắt",请帮我把这个包含汉语资料的包裹用红色细绳子打个结系好。,Giúp tôi thắt một nút bằng dây đỏ buộc gói tài liệu tiếng Trung này.
403,结构,Danh từ,jiégòu,"cấu trúc, kết cấu",这篇中文毕业论文的整体结构设计得非常符合学术发表规范。,Cấu trúc tổng thể của luận văn tốt nghiệp này rất khớp quy chuẩn công bố.
404,结论,Danh từ,jiélùn,kết luận,通过对调查问卷的数据分析，我们小组最终得出了一个核心结论结论。,"Qua phân tích số liệu bảng hỏi, nhóm tôi đưa ra kết luận cốt lõi."
405,姐妹,Danh từ,jiěmèi,"chị em, chị em gái",她们虽然在不同的城市上大学，但姐妹俩的感情一直非常深厚。,Dù học đại học ở hai thành phố khác nhau nhưng hai chị em rất thân.
406,解释,Động từ / Danh từ,jiěshì,"giải thích, chú giải",李老师在汉语课上非常耐心地给我们解释了这几个近义词的用法用法。,Cô Lý rất kiên trì giải thích cách dùng của mấy từ gần nghĩa này.
407,尽快,Phó từ,jǐnkuài,"nhanh nhất có thể, sớm nhất có thể",写完这份汉语报告后，请尽快发送到李教授的官方邮箱里进行修改进行修改。,Viết xong báo cáo tiếng Trung này hãy gửi sớm nhất có thể vào mail giáo sư.
408,紧密,Tính từ,jǐnmì,"chặt chẽ, mật thiết, sát sao",我们两个汉语学习小组要保持紧密的合作，共同提高口语口语水平。,Hai nhóm học tiếng Trung phải giữ hợp tác chặt chẽ để cùng tiến bộ.
409,尽力,Động từ,jìnlì,"hết sức, cố gắng hết khả năng",不管明天的汉语水平测试有多难，我们都要尽力发挥出最好水平。,"Bất kể bài thi mai khó thế nào, ta đều phải cố gắng hết khả năng."
